D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_301.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_301.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_301.jpg,0,0,0,1.882432E-05
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_384.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_384.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_384.jpg,0,0,0,6.00409E-07
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_467.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_467.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_467.jpg,0,0,0,3.26096E-06
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_557.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_557.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_557.jpg,0,0,0,6.820062E-06
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_639.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_639.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_639.jpg,0,0,0,1.093275E-06
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_723.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_723.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_723.jpg,0,0,0,2.83525E-06
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_817.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_817.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_817.jpg,0,0.1687068,0,0.1015341
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_899.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_899.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_899.jpg,0,0.4195437,0,0.3745635
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_38_985.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_38_985.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_38_985.jpg,0,0.6750939,0,1.048951
D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\center_2021_06_13_22_09_39_070.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\left_2021_06_13_22_09_39_070.jpg,D:\Documents\Work\ML\Self_Driving_Car\Dataset\IMG\right_2021_06_13_22_09_39_070.jpg,0,0.9291108,0,1.795135
